,주유소 이름,주소,Latitude,Longitude,휘발유 가격
206,(주)지엠지 우경주유소,부산 사상구 백양대로 477 (주례동),35.1516217,129.0055614,1564
207,가락타운주유소,부산 사상구 낙동대로 730 (엄궁동),35.1262098,128.9687631,1564
208,(주)좋은기름나라새사상셀프주유소지점,부산 사상구 새벽로 154,35.154972,128.983306,1564
209,㈜덕양에너지직영 굿모닝주유소,부산 사상구 학감대로 70,35.1391738,128.9926646,1564
210,세원주유소,부산 사상구 학감대로 178,35.146891,128.9891171,1564
211,원주유소,부산 사상구 백양대로 349 (주례동),35.1525479,129.0027557,1564
212,에스씨(주) 새문주유소,부산 사상구 학감대로 30 (학장동),35.1363924,128.9960658,1564
213,서부산IC주유소,부산 사상구 학감대로 170,35.146111,128.9897359,1564
214,부영석유(주)도매주유소,부산 사상구 가야대로 10 (감전동),35.1517258,128.9738437,1564
215,엄궁주유소,부산 사상구 낙동대로 681,35.1234684,128.9649464,1564
216,성림주유소,부산 사상구 백양대로 480,35.1531698,128.9996938,1564
217,(주)젤코바,부산 사상구 가야대로 63,35.1515299,128.9796864,1564
218,(주)덕양에너지 직영 구덕산주유소,부산 사상구 학감대로 98 (학장동),35.1404957,128.9901325,1564
219,(주)호림에너지 호림주유소,부산 사상구 낙동대로 669 (엄궁동),35.1290455,128.9782556,1564
220,㈜제이와이비젼 명성주유소,부산 사상구 학감대로 220 (감전동),35.150601,128.9899922,1565
221,구룡주유소,부산 사상구 가야대로 150 (학장동),35.1491508,128.9888716,1568
222,엔씨네트웍스(주)직영주유소,부산 사상구 사상로 105,35.1562205,128.9901519,1568
223,지에스칼텍스(주)강변주유소,부산 사상구 강변대로 412 (엄궁동),35.1222741,128.9619186,1574
224,지에스칼텍스(주)자이언트주유소,부산 사상구 강변대로 458 (엄궁동),35.1258883,128.9632154,1574
225,(주)부영에너지,부산 사상구 낙동대로 994 (감전동),35.1493405,128.971717,1578
